#         x              y            xerror         yerror
       -0.84680       -4.14746        0.22733        0.50910
       -0.90197       -3.46882        0.02690        0.07347
       -1.17219       -2.86903        0.24359        0.30941
       -1.22402       -3.15580        0.14915        0.60959
       -1.02227       -3.53408        0.19992        0.32029
       -1.30314       -4.74638        0.11039        0.64918
       -1.09437       -4.09195        0.83077        0.18731
       -1.46002       -3.44633        0.12978        0.14833
       -0.18726       -3.47084        0.04534        0.16123
       -1.41388       -3.13479        0.28306        0.09878
       -0.47626       -2.41819        0.19882        0.79231
       -0.85673       -3.33300        0.23087        0.38857
       -0.16288       -3.24323        0.54414        0.12838
       -0.67307       -2.47031        0.16532        0.53638
       -1.59024       -2.67050        0.63327        0.14324
       -1.07659       -3.67301        0.58377        0.37541
       -0.54964       -2.00617        0.35355        0.01774
        0.32355       -3.24166        0.18539        0.08233
       -0.77391       -1.66804        0.26294        0.14458
       -1.31991       -2.04288        0.39867        0.44903
       -0.75702       -1.07120        0.02556        0.49805
       -0.36045       -2.00813        0.61188        0.15540
       -0.54317       -2.14307        0.23935        0.58257
       -0.77110       -2.75667        0.05262        0.28297
       -0.21261       -0.46562        0.12837        0.05107
       -0.37342       -1.72878        0.01595        0.16176
       -1.07586       -1.56627        0.18246        0.13749
       -1.61141       -2.36656        0.44990        0.01825
       -1.43667       -2.22437        0.40188        0.06356
        0.42406       -1.25661        0.64654        0.43396
       -0.09924       -1.60474        0.29482        0.09040
       -0.70616       -0.94852        0.32959        0.50377
       -0.04030       -3.13747        0.22764        0.47545
        0.10520       -1.62445        0.50757        0.14777
       -0.62155       -1.66212        0.50711        0.06467
       -0.43817       -1.21262        0.13416        0.05868
       -0.18836       -2.49953        0.04772        0.28508
        0.71088       -1.27564        0.36075        0.19367
       -0.06234       -1.34516        0.47596        0.29209
        0.17397       -1.38996        0.08247        0.06290
       -0.10087       -1.72448        0.18319        0.43507
       -0.60784       -1.19214        0.16170        0.03279
        0.73642       -1.03657        0.32385        0.68255
       -0.55200       -1.62079        0.25868        0.06195
       -0.16996       -0.10216        0.09521        0.18355
        0.15935        0.33654        0.06735        0.23128
       -0.78058       -1.22903        0.45030        0.57903
        0.01682       -1.16696        0.23096        0.09062
       -0.59440       -0.54096        0.36027        0.53249
        0.48567       -0.85943        0.35551        0.04070
       -0.41366       -0.34528        0.09635        0.56494
       -0.19324       -1.37858        0.32981        0.42277
        0.56032       -1.08435        0.35220        0.57452
        0.40252       -0.69190        0.57067        0.21854
       -0.07352       -1.68739        0.05298        0.49666
        0.68736       -0.62569        0.25041        0.59698
        0.45909       -0.33658        0.34666        0.65965
        0.82387       -1.04453        0.18521        0.51265
       -0.26159        0.69418        0.52292        0.51609
        0.69921        0.67533        0.14162        0.23090
       -0.01229        0.84998        0.04781        0.20992
       -0.64528       -0.01901        0.01388        0.15539
       -0.08518        1.35647        0.21454        0.12022
        0.59853        0.18363        0.32017        0.50122
       -0.45878        1.10424        0.40839        0.59701
       -0.95141       -0.65206        0.60819        0.50081
        0.59938       -0.27893        0.49553        1.31969
        0.19705        0.48944        0.06202        0.10366
        0.03595        0.28303        0.21097        0.42052
        0.19926        0.34412        0.44410        0.55579
        0.43657        1.00999        0.27859        0.12353
       -0.12553        0.86038        0.19554        0.07300
        0.72679        0.65074        0.61857        0.64450
        0.58303        1.02465        0.17037        0.14278
        0.02818       -0.15061        0.11947        0.19340
       -0.02684        0.81118        0.26476        0.05338
        1.84540        0.09374        0.30474        0.51169
        0.40765        0.25958        0.07083        0.26596
        0.60665        0.01694        0.25910        0.45437
        0.26391        1.30143        0.18025        0.20103
        1.55667        1.87680        0.24267        0.10872
        1.24232        0.96081        0.42802        0.08974
       -0.12832        0.02330        0.23663        0.32414
        0.94707        0.74759        0.02528        0.00169
        0.17203        1.20631        0.19476        0.22367
        1.07724        2.28010        0.22018        0.38272
        0.75980        0.37514        0.37041        0.72505
        0.26683        1.64475        0.01524        0.26818
        1.05068        2.33664        0.07746        0.67774
        0.72448        1.70361        0.16598        0.28463
        0.76533        2.31012        0.84768        0.10440
        1.79101        1.42749        0.25720        0.29414
        1.39121        1.78863        0.41167        0.33480
       -0.30513        2.52619        0.41217        0.07876
        0.57769        1.04118        0.04338        0.44105
        0.92387        1.64677        0.55976        0.60253
        0.47936        1.72844        0.08502        0.45997
        1.14047        1.10498        0.49165        0.09570
        1.69061        2.09391        0.28888        0.19094
        1.01720        2.44316        0.17902        0.28255
